kode_item,nama_item,kategori,jumlah,harga,satuan,tanggal_kadaluarsa,lokasi
CLT-0042,Seragam Security Pro,Clothing,190,7381000.0,lusin,,Toko Utama
CLT-0043,Rompi Safety,Clothing,169,10894500.0,box,,Gudang A
CLT-0044,Helm Safety,Clothing,148,5217500.0,box,,Toko Utama
CLT-0045,Sepatu Safety,Clothing,129,12212500.0,pcs,,Rak C1
CLT-0046,Sarung Tangan,Clothing,116,2601500.0,lusin,,Rak D2
CLT-0047,Masker N95,Clothing,145,6585000.0,unit,,Gudang B
CLT-0048,Masker N95 Pro,Clothing,21,7042500.0,lusin,,Rak D2
CLT-0049,Jas Lab,Clothing,192,4227000.0,lusin,,Rak C1
CLN-0142,Sikat WC Seri-142,Cleaning,76,3071000.0,pcs,2026-09-08,Gudang A
CLN-0144,Lap Pel Set Seri-144,Cleaning,35,13825000.0,lusin,2026-05-28,Gudang B
FNB-0052,Kopi Arabika 1kg,Food & Beverage,10,2099000.0,pcs,2026-11-19,Toko Utama
FRN-0137,Lemari Arsip Seri-137,Furniture,99,8801000.0,lusin,,Gudang B
FNB-0053,Kopi Arabika 1kg Pro,Food & Beverage,11,11225000.0,lusin,2026-11-13,Toko Utama
TLS-0153,Kunci Inggris Seri-153,Tools,103,3505500.0,unit,,Gudang A
FNB-0054,Teh Celup 100pcs,Food & Beverage,12,1313000.0,pcs,2026-12-16,Gudang A
FNB-0055,Gula Pasir 5kg,Food & Beverage,4,14611000.0,liter,2026-07-12,Gudang B
FNB-0056,Air Mineral 24pcs,Food & Beverage,54,1278500.0,box,2027-11-10,Gudang A
FNB-0057,Susu UHT 1L,Food & Beverage,125,3636000.0,lusin,2026-11-05,Toko Utama
FNB-0058,Susu UHT 1L Pro,Food & Beverage,80,89000.0,box,2027-12-14,Gudang A
FNB-0059,Mie Instan 40pcs,Food & Beverage,138,10873000.0,kg,2027-12-18,Gudang B
CLT-0050,Topi Proyek,Clothing,74,4134000.0,lusin,,Gudang B
CLT-0051,Kacamata Safety,Clothing,31,9391000.0,box,,Rak C1
STN-0154,Map Plastik Seri-154,Stationary,124,14860500.0,lusin,,Gudang A
FNB-0060,Mie Instan 40pcs Pro,Food & Beverage,195,13003000.0,liter,2026-08-30,Toko Utama
FRN-0025,Kursi Kantor,Furniture,83,8062500.0,pcs,,Gudang B
FNB-0061,Biskuit Kaleng,Food & Beverage,3,6418500.0,unit,2027-05-14,Rak C1
FRN-0026,Kursi Kantor Pro,Furniture,153,3320000.0,pcs,,Gudang A
FNB-0062,Sirup Marjan,Food & Beverage,112,984000.0,box,2027-02-18,Rak D2
FRN-0027,Meja Kerja,Furniture,92,6988500.0,liter,,Gudang A
FNB-0063,Sirup Marjan Pro,Food & Beverage,37,6563000.0,box,2027-03-23,Rak C1
FRN-0028,Meja Kerja Pro,Furniture,29,1974500.0,lusin,,Rak C1
FNB-0064,Kopi Sachet 50pcs,Food & Beverage,76,3311500.0,box,2027-11-15,Rak C1
FRN-0029,Lemari Arsip,Furniture,68,7915500.0,unit,,Gudang A
FNB-0065,Kopi Sachet 50pcs Pro,Food & Beverage,8,2929000.0,lusin,2027-12-01,Rak C1
FNB-0066,Teh Botol 24pcs,Food & Beverage,93,4873500.0,liter,2028-04-14,Gudang A
FNB-0067,Teh Botol 24pcs Pro,Food & Beverage,111,7241500.0,pcs,2026-05-22,Gudang B
FRN-0030,Rak Buku,Furniture,105,7460000.0,kg,,Gudang A
FRN-0031,Sofa Tunggu,Furniture,131,2369500.0,liter,,Toko Utama
FRN-0032,Meja Meeting,Furniture,1,6832000.0,pcs,,Gudang A
FRN-0033,Kursi Gaming,Furniture,105,4765000.0,kg,,Toko Utama
FRN-0034,Filing Cabinet,Furniture,95,12500.0,unit,,Gudang A
FRN-0035,Loker Karyawan,Furniture,131,1190000.0,kg,,Rak D2
FRN-0036,Loker Karyawan Pro,Furniture,82,6367000.0,pcs,,Toko Utama
FRN-0037,Whiteboard,Furniture,21,13573500.0,liter,,Rak D2
FRN-0038,Whiteboard Pro,Furniture,102,4211000.0,kg,,Toko Utama
TLS-0068,Obeng Set,Tools,179,3777000.0,kg,,Gudang B
TLS-0069,Tang Kombinasi,Tools,47,13868000.0,lusin,,Rak D2
TLS-0070,Kunci Inggris,Tools,119,2578500.0,unit,,Rak C1
TLS-0071,Bor Listrik,Tools,7,5291500.0,box,,Rak D2
TLS-0072,Bor Listrik Pro,Tools,154,8106000.0,lusin,,Gudang A
TLS-0073,Gergaji Besi,Tools,94,1605500.0,unit,,Rak C1
TLS-0074,Meteran 5m,Tools,28,1548000.0,box,,Rak C1
TLS-0075,Meteran 5m Pro,Tools,199,4228500.0,box,,Rak D2
TLS-0076,Waterpass,Tools,16,7195000.0,kg,,Rak D2
TLS-0077,Palu Besi,Tools,176,14225000.0,kg,,Gudang B
TLS-0078,Palu Besi Pro,Tools,57,13460500.0,kg,,Rak C1
TLS-0079,Cutter Besar,Tools,188,7015000.0,unit,,Toko Utama
TLS-0080,Selotip Double Tape,Tools,138,11947500.0,lusin,,Toko Utama
ELC-0001,Laptop ASUS,Electronics,36,10776000.0,box,,Rak C1
ELC-0002,Laptop Lenovo,Electronics,5,12020000.0,box,,Rak C1
ELC-0003,Laptop Lenovo Pro,Electronics,116,1946000.0,pcs,,Gudang B
ELC-0004,Monitor LG,Electronics,1,1311000.0,lusin,,Gudang B
ELC-0005,Monitor LG Pro,Electronics,115,14925500.0,unit,,Toko Utama
ELC-0006,Monitor Samsung,Electronics,76,8044000.0,kg,,Rak C1
ELC-0007,Monitor Samsung Pro,Electronics,119,9810500.0,box,,Toko Utama
ELC-0008,Keyboard Mechanical,Electronics,84,14516000.0,box,,Gudang A
STN-0081,Kertas HVS A4,Stationary,17,586500.0,pcs,,Rak C1
ELC-0009,Keyboard Mechanical Pro,Electronics,21,12561500.0,box,,Toko Utama
STN-0082,Pulpen Ballpoint,Stationary,184,11224000.0,kg,,Toko Utama
STN-0083,Spidol Whiteboard,Stationary,118,8685500.0,liter,,Gudang A
STN-0084,Spidol Whiteboard Pro,Stationary,90,14938000.0,lusin,,Gudang A
STN-0085,Stapler Besar,Stationary,44,7875500.0,lusin,,Rak C1
STN-0086,Stapler Besar Pro,Stationary,125,7754500.0,pcs,,Rak D2
STN-0087,Penggaris 30cm,Stationary,114,13270000.0,box,,Rak D2
STN-0088,Amplop Coklat,Stationary,194,3501000.0,unit,,Gudang A
STN-0089,Amplop Coklat Pro,Stationary,134,6068000.0,kg,,Rak D2
ELC-0010,Mouse Wireless,Electronics,96,12897500.0,lusin,,Gudang B
ELC-0011,Headset Gaming,Electronics,69,1859000.0,kg,,Toko Utama
ELC-0012,Speaker Bluetooth,Electronics,121,8630500.0,lusin,,Gudang A
ELC-0013,Webcam HD,Electronics,163,2525000.0,liter,,Gudang A
ELC-0014,Webcam HD Pro,Electronics,155,2984500.0,liter,,Toko Utama
ELC-0015,Printer Canon,Electronics,142,14740500.0,liter,,Gudang A
ELC-0016,Printer Epson,Electronics,40,13751000.0,box,,Gudang B
ELC-0017,SSD Samsung 1TB,Electronics,18,8335000.0,box,,Rak C1
STN-0090,Map Plastik,Stationary,143,8598500.0,lusin,,Gudang A
ELC-0018,SSD Samsung 1TB Pro,Electronics,50,7638500.0,liter,,Toko Utama
STN-0091,Tinta Printer,Stationary,39,4971000.0,unit,,Rak D2
ELC-0139,USB Hub 7-Port Seri-139,Electronics,155,6700000.0,unit,,Toko Utama
ELC-0019,RAM DDR4 16GB,Electronics,7,4945000.0,kg,,Gudang B
STN-0092,Penghapus,Stationary,121,10526000.0,lusin,,Gudang B
STN-0093,Penghapus Pro,Stationary,37,3585000.0,kg,,Rak C1
STN-0094,Binder Clip 50pcs,Stationary,124,9365000.0,box,,Rak D2
STN-0095,Binder Clip 50pcs Pro,Stationary,59,13168500.0,box,,Rak D2
CLN-0096,Sabun Lantai 5L,Cleaning,60,7979500.0,box,2026-11-12,Gudang B
CLN-0097,Cairan Pembersih,Cleaning,88,3114000.0,liter,2026-12-15,Gudang B
CLN-0098,Cairan Pembersih Pro,Cleaning,157,8923500.0,box,2026-09-01,Rak D2
CLN-0099,Kain Lap Microfiber,Cleaning,82,13049000.0,liter,2028-01-18,Rak C1
ELC-0020,RAM DDR4 16GB Pro,Electronics,198,6806500.0,unit,,Gudang B
ELC-0141,Headset Gaming Seri-141,Electronics,132,7777000.0,unit,,Gudang A
ELC-0021,USB Hub 7-Port,Electronics,76,12109500.0,pcs,,Toko Utama
ELC-0022,USB Hub 7-Port Pro,Electronics,24,4309000.0,pcs,,Toko Utama
ELC-0023,HDMI Cable,Electronics,175,868500.0,box,,Rak C1
ELC-0024,HDMI Cable Pro,Electronics,42,7530000.0,liter,,Gudang A
ELC-0149,Speaker Bluetooth Seri-149,Electronics,123,3696000.0,box,,Gudang B
ELC-0151,Headset Gaming Seri-151,Electronics,143,14539500.0,box,,Gudang B
ELC-0152,Laptop ASUS Seri-152,Electronics,141,6731000.0,lusin,,Gudang A
ELC-0155,RAM DDR4 16GB Seri-155,Electronics,28,8318000.0,lusin,,Gudang A
MED-0112,Obat P3K Set,Medical,80,11688000.0,liter,2027-03-18,Gudang B
MED-0113,Obat P3K Set Pro,Medical,155,14726500.0,liter,2026-10-03,Gudang B
MED-0114,Perban Gulung,Medical,73,2300500.0,box,2026-08-18,Toko Utama
MED-0115,Perban Gulung Pro,Medical,199,13702500.0,kg,2027-07-28,Gudang A
MED-0116,Plester Luka,Medical,55,8536500.0,liter,2027-11-11,Gudang B
MED-0117,Plester Luka Pro,Medical,189,3444000.0,pcs,2027-10-04,Rak D2
MED-0118,Alkohol 70%,Medical,115,8192500.0,kg,2028-04-18,Gudang B
MED-0119,Betadine 30ml,Medical,193,6784500.0,box,2028-04-11,Rak D2
